,agent_id,date_utc,punch_in,punch_out,user_shift_assign,timezone_string,time_zone
0,2003,2023-07-20,2023-07-20 00:00:00,2023-07-20 03:28:00,DEL Sales 6 Sun - Thu 05:30 AM,Asia/Kolkata,-5:30:00
1,2003,2023-07-20,2023-07-20 03:33:00,2023-07-20 04:49:00,DEL Sales 6 Sun - Thu 05:30 AM,Asia/Kolkata,-5:30:00
2,2003,2023-07-20,2023-07-20 04:52:00,2023-07-20 05:28:00,DEL Sales 6 Sun - Thu 05:30 AM,Asia/Kolkata,-5:30:00
3,2003,2023-07-20,2023-07-20 05:35:00,2023-07-20 07:18:00,DEL Sales 6 Sun - Thu 05:30 AM,Asia/Kolkata,-5:30:00
4,2003,2023-07-20,2023-07-20 07:21:00,2023-07-20 07:27:00,DEL Sales 6 Sun - Thu 05:30 AM,Asia/Kolkata,-5:30:00
5,2003,2023-07-20,2023-07-20 07:33:00,2023-07-20 07:47:00,DEL Sales 6 Sun - Thu 05:30 AM,Asia/Kolkata,-5:30:00
6,2003,2023-07-20,2023-07-20 07:53:00,2023-07-20 08:02:00,DEL Sales 6 Sun - Thu 05:30 AM,Asia/Kolkata,-5:30:00
7,2251,2023-07-20,2023-07-20 00:00:00,2023-07-20 01:43:00,DEL Sales 5 Tue-Sat 4.30am,Asia/Kolkata,-5:30:00
8,2251,2023-07-20,2023-07-20 01:47:00,2023-07-20 03:10:00,DEL Sales 5 Tue-Sat 4.30am,Asia/Kolkata,-5:30:00
9,2251,2023-07-20,2023-07-20 03:13:00,2023-07-20 04:39:00,DEL Sales 5 Tue-Sat 4.30am,Asia/Kolkata,-5:30:00
10,2251,2023-07-20,2023-07-20 04:42:00,2023-07-20 07:02:00,DEL Sales 5 Tue-Sat 4.30am,Asia/Kolkata,-5:30:00
11,2251,2023-07-20,2023-07-20 07:09:00,2023-07-20 07:12:00,DEL Sales 5 Tue-Sat 4.30am,Asia/Kolkata,-5:30:00
12,2251,2023-07-20,2023-07-20 23:02:00,2023-07-20 23:05:00,DEL Sales 5 Tue-Sat 4.30am,Asia/Kolkata,-5:30:00
13,2251,2023-07-20,2023-07-20 23:08:00,2023-07-21 00:00:00,DEL Sales 5 Tue-Sat 4.30am,Asia/Kolkata,-5:30:00
14,2333,2023-07-20,2023-07-20 00:00:00,2023-07-20 03:08:00,DEL Sales 5 Tue-Sat 4.30am,Asia/Kolkata,-5:30:00
15,2333,2023-07-20,2023-07-20 03:11:00,2023-07-20 03:14:00,DEL Sales 5 Tue-Sat 4.30am,Asia/Kolkata,-5:30:00
16,2333,2023-07-20,2023-07-20 03:22:00,2023-07-20 04:22:00,DEL Sales 5 Tue-Sat 4.30am,Asia/Kolkata,-5:30:00
17,2333,2023-07-20,2023-07-20 04:28:00,2023-07-20 05:50:00,DEL Sales 5 Tue-Sat 4.30am,Asia/Kolkata,-5:30:00
18,2333,2023-07-20,2023-07-20 05:53:00,2023-07-20 07:15:00,DEL Sales 5 Tue-Sat 4.30am,Asia/Kolkata,-5:30:00
19,2333,2023-07-20,2023-07-20 15:12:00,2023-07-20 17:08:00,DEL Sales 5 Tue-Sat 4.30am,Asia/Kolkata,-5:30:00
20,2333,2023-07-20,2023-07-20 17:11:00,2023-07-20 17:26:00,DEL Sales 5 Tue-Sat 4.30am,Asia/Kolkata,-5:30:00
21,2333,2023-07-20,2023-07-20 21:59:00,2023-07-20 22:19:00,DEL Sales 5 Tue-Sat 4.30am,Asia/Kolkata,-5:30:00
