"agent_id","date_utc","timezone_string","time_zone","user_shift_assign"
153,"2023-07-18",Asia/Kolkata,-5:30:00,DEL Sales 12 Tue - Sat 09:30 PM
153,"2023-07-19",Asia/Kolkata,-5:30:00,DEL Sales 12 Tue - Sat 09:30 PM
153,"2023-07-20",Asia/Kolkata,-5:30:00,DEL Sales 12 Tue - Sat 09:30 PM
255,"2023-07-18",Europe/Chisinau,-3:00:00,Sales 34 Mon-Fri 18:00-02:00
255,"2023-07-19",Europe/Chisinau,-3:00:00,Sales 34 Mon-Fri 18:00-02:00
255,"2023-07-20",Europe/Chisinau,-3:00:00,Sales 34 Mon-Fri 18:00-02:00
257,"2023-07-18",Asia/Kolkata,-5:30:00,DEL Sales 4 Tue-Sat 3.30am
257,"2023-07-19",Asia/Kolkata,-5:30:00,DEL Sales 4 Tue-Sat 3.30am
257,"2023-07-20",Asia/Kolkata,-5:30:00,DEL Sales 4 Tue-Sat 3.30am
353,"2023-07-18",Asia/Kolkata,-5:30:00,DEL Sales 6 Sun - Thu 05:30 AM
353,"2023-07-19",Asia/Kolkata,-5:30:00,DEL Sales 6 Sun - Thu 05:30 AM
353,"2023-07-20",Asia/Kolkata,-5:30:00,DEL Sales 6 Sun - Thu 05:30 AM
362,"2023-07-18",Asia/Karachi,-5:00:00,DEL Sales 13 Sun - Thu 11:30 PM
362,"2023-07-19",Asia/Karachi,-5:00:00,DEL Sales 13 Sun - Thu 11:30 PM
362,"2023-07-20",Asia/Karachi,-5:00:00,DEL Sales 13 Sun - Thu 11:30 PM
383,"2023-07-18",Asia/Kolkata,-5:30:00,DEL Sales 4 Tue-Sat 3.30am
383,"2023-07-19",Asia/Kolkata,-5:30:00,DEL Sales 4 Tue-Sat 3.30am
383,"2023-07-20",Asia/Kolkata,-5:30:00,DEL Sales 4 Tue-Sat 3.30am
412,"2023-07-18",Asia/Kolkata,-5:30:00,DEL Sales 5 Tue-Sat 4.30am
412,"2023-07-19",Asia/Kolkata,-5:30:00,DEL Sales 5 Tue-Sat 4.30am
412,"2023-07-20",Asia/Kolkata,-5:30:00,DEL Sales 5 Tue-Sat 4.30am
416,"2023-07-18",Asia/Kolkata,-5:30:00,DEL Sales 9 Sun-Thu 07.30
416,"2023-07-19",Asia/Kolkata,-5:30:00,DEL Sales 9 Sun-Thu 07.30
416,"2023-07-20",Asia/Kolkata,-5:30:00,DEL Sales 9 Sun-Thu 07.30
439,"2023-07-18",America/New_York,"04:00:00",DEL Sales 8 Tue - Sat 06:30 PM
439,"2023-07-19",America/New_York,"04:00:00",DEL Sales 8 Tue - Sat 06:30 PM
439,"2023-07-20",America/New_York,"04:00:00",DEL Sales 8 Tue - Sat 06:30 PM
445,"2023-07-18",Asia/Kolkata,-5:30:00,DEL Sales 7 Sun - Thu 04:30 PM 
445,"2023-07-19",Asia/Kolkata,-5:30:00,DEL Sales 7 Sun - Thu 04:30 PM 
445,"2023-07-20",Asia/Kolkata,-5:30:00,DEL Sales 7 Sun - Thu 04:30 PM 
