"agent_id","punch_in","punch_out","date_utc"
275,2023-07-20 00:00:00,2023-07-20 01:00:00,2023-07-20
452,2023-07-20 00:00:00,2023-07-20 00:38:00,2023-07-20
747,2023-07-20 00:00:00,2023-07-20 01:19:00,2023-07-20
880,2023-07-20 00:00:00,2023-07-20 00:09:00,2023-07-20
1772,2023-07-20 00:00:00,2023-07-20 02:09:00,2023-07-20
2003,2023-07-20 00:00:00,2023-07-20 03:28:00,2023-07-20
2251,2023-07-20 00:00:00,2023-07-20 01:43:00,2023-07-20
2322,2023-07-20 00:00:00,2023-07-20 00:10:00,2023-07-20
2333,2023-07-20 00:00:00,2023-07-20 03:08:00,2023-07-20
2348,2023-07-20 00:00:00,2023-07-20 00:15:00,2023-07-20
2424,2023-07-20 00:00:00,2023-07-20 00:38:00,2023-07-20
2462,2023-07-20 00:00:00,2023-07-20 00:04:00,2023-07-20
2563,2023-07-20 00:00:00,2023-07-20 00:28:00,2023-07-20
2581,2023-07-20 00:00:00,2023-07-20 00:45:00,2023-07-20
2779,2023-07-20 00:00:00,2023-07-20 01:33:00,2023-07-20
2794,2023-07-20 00:00:00,2023-07-20 00:22:00,2023-07-20
2812,2023-07-20 00:00:00,2023-07-20 00:41:00,2023-07-20
2818,2023-07-20 00:00:00,2023-07-20 00:16:00,2023-07-20
2876,2023-07-20 00:00:00,2023-07-20 00:05:00,2023-07-20
2895,2023-07-20 00:00:00,2023-07-20 00:46:00,2023-07-20
2902,2023-07-20 00:00:00,2023-07-20 00:03:00,2023-07-20
2967,2023-07-20 00:00:00,2023-07-20 01:04:00,2023-07-20
2968,2023-07-20 00:00:00,2023-07-20 00:06:00,2023-07-20
3007,2023-07-20 00:00:00,2023-07-20 00:37:00,2023-07-20
3074,2023-07-20 00:00:00,2023-07-20 00:28:00,2023-07-20
459,2023-07-20 00:01:00,2023-07-20 00:04:00,2023-07-20
1719,2023-07-20 00:01:00,2023-07-20 02:28:00,2023-07-20
2662,2023-07-20 00:02:00,2023-07-20 00:38:00,2023-07-20
2638,2023-07-20 00:04:00,2023-07-20 00:45:00,2023-07-20
997,2023-07-20 00:06:00,2023-07-20 00:09:00,2023-07-20
2462,2023-07-20 00:08:00,2023-07-20 00:45:00,2023-07-20
525,2023-07-20 00:09:00,2023-07-20 01:55:00,2023-07-20
2374,2023-07-20 00:09:00,2023-07-20 00:51:00,2023-07-20
1902,2023-07-20 00:13:00,2023-07-20 01:15:00,2023-07-20
2322,2023-07-20 00:13:00,2023-07-20 00:40:00,2023-07-20
1763,2023-07-20 00:14:00,2023-07-20 00:27:00,2023-07-20
2968,2023-07-20 00:14:00,2023-07-20 00:54:00,2023-07-20
880,2023-07-20 00:15:00,2023-07-20 01:15:00,2023-07-20
2348,2023-07-20 00:23:00,2023-07-20 02:06:00,2023-07-20
563,2023-07-20 00:24:00,2023-07-20 00:27:00,2023-07-20
1763,2023-07-20 00:31:00,2023-07-20 00:34:00,2023-07-20
997,2023-07-20 00:32:00,2023-07-20 00:44:00,2023-07-20
352,2023-07-20 00:34:00,2023-07-20 00:42:00,2023-07-20
1827,2023-07-20 00:34:00,2023-07-20 00:38:00,2023-07-20
2563,2023-07-20 00:36:00,2023-07-20 00:43:00,2023-07-20
1763,2023-07-20 00:40:00,2023-07-20 00:46:00,2023-07-20
452,2023-07-20 00:41:00,2023-07-20 00:48:00,2023-07-20
2322,2023-07-20 00:46:00,2023-07-20 01:48:00,2023-07-20
2803,2023-07-20 00:47:00,2023-07-20 01:01:00,2023-07-20
2818,2023-07-20 00:47:00,2023-07-20 00:53:00,2023-07-20
997,2023-07-20 00:48:00,2023-07-20 00:52:00,2023-07-20
2424,2023-07-20 00:48:00,2023-07-20 00:54:00,2023-07-20
2662,2023-07-20 00:48:00,2023-07-20 03:09:00,2023-07-20
563,2023-07-20 00:49:00,2023-07-20 00:52:00,2023-07-20
1763,2023-07-20 00:49:00,2023-07-20 00:56:00,2023-07-20
2462,2023-07-20 00:49:00,2023-07-20 01:18:00,2023-07-20
